Name,Interceptions,Penalty committed,Errors lead to goal,Dribbled past,Total passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Aerial duels won %,Total duels won %,Appearances,Age Range,Position,League,Level,Goals,Headed goals,Tackles,Clearances,Big chances created,Accurate final third passes,Fouls,Successful dribbles %,Total shots,Set piece conversion %,Assists,Was fouled,Big chances missed
Brian Heras,0.0,0.0,0.0,0.0,0.2371,0.5452,0.4307999999999999,4.21,0.5,0.21,0.0,0.57,0.14,0.6667000000000001,0.8571,14.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Alexander Domínguez,0.0,0.0,0.0,0.0,0.23,0.7713,0.5385,3.41,0.52,0.15,0.07,0.52,0.07,1.0,1.0,27.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Rafael Romo,0.0,0.0,0.0,0.09,0.2465,0.746,0.4393,4.04,0.43,0.13,0.0,1.09,0.04,0.75,0.75,23.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Hernán Galíndez,0.0,0.0,0.0,0.04,0.2491,0.5759000000000001,0.3585,4.04,0.43,0.13,0.0,1.0,0.17,0.5,0.6,23.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Pedro Ortiz,0.0,0.0,0.0,0.03,0.21,0.6889,0.4146,3.37,0.47,0.27,0.03,0.8,0.13,1.0,0.8571,30.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Leodan Chalá,0.08,0.0,0.08,0.0,0.2725,0.4251,0.3488,3.92,0.17,0.33,0.08,1.33,0.17,0.5,0.8571,12.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Javier Burrai,0.0,0.0,0.0,0.0,0.25,0.76,0.496,2.91,0.36,0.14,0.0,0.95,0.05,1.0,1.0,22.0,3.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Hamilton Piedra,0.0,0.0,0.0,0.04,0.2460999999999999,0.5806,0.4054,3.29,0.36,0.21,0.04,0.89,0.29,1.0,0.8571,28.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Gonzalo Valle,0.07,0.04,0.0,0.0,0.3211,0.7864,0.474,3.5,0.21,0.29,0.04,1.39,0.11,0.6,0.7273000000000001,28.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
Leonel Nazareno,0.04,0.0,0.0,0.04,0.2585,0.5521,0.3804,3.0,0.23,0.12,0.04,1.08,0.15,0.8889,0.9,26.0,2.0,1.0,Ecuador Serie A,3.0,,,,,,,,,,,,,
